Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
Pep_656,0.595,0,0,0.595,Non-Toxin
Pep_657,0.571,0,0,0.571,Non-Toxin
Pep_658,0.51,0,0,0.51,Non-Toxin
Pep_659,0.793,0,0,0.793,Toxin
Pep_660,0.785,0,0,0.785,Toxin
Pep_661,0.475,0,0,0.475,Non-Toxin
Pep_662,0.496,0,0,0.496,Non-Toxin
Pep_663,0.742,0,0,0.742,Toxin
Pep_664,0.954,0,0,0.954,Toxin
Pep_665,0.758,0,0,0.758,Toxin
Pep_666,0.776,0,0,0.776,Toxin
Pep_667,0.523,0,0,0.523,Non-Toxin
Pep_668,0.542,0,0,0.542,Non-Toxin
Pep_669,0.661,0,0,0.661,Toxin
Pep_670,0.726,0,0,0.726,Toxin
Pep_671,0.755,0,0,0.755,Toxin
Pep_672,0.587,0,0,0.587,Non-Toxin
Pep_673,0.812,0,0,0.812,Toxin
Pep_674,0.641,0,0,0.641,Toxin
Pep_675,0.644,0,0,0.644,Toxin
Pep_676,0.686,0,0,0.686,Toxin
Pep_677,0.786,0,0,0.786,Toxin
Pep_678,0.56,0,0,0.56,Non-Toxin
Pep_679,0.555,0,0,0.555,Non-Toxin
Pep_680,0.857,0,0,0.857,Toxin
Pep_681,0.742,0,0,0.742,Toxin
Pep_682,0.71,0,0,0.71,Toxin
Pep_683,0.829,0,0,0.829,Toxin
Pep_684,0.873,0,0,0.873,Toxin
Pep_685,0.52,0,0,0.52,Non-Toxin
Pep_686,0.756,0,0,0.756,Toxin
Pep_687,0.735,0,0,0.735,Toxin
Pep_688,0.505,0,0,0.505,Non-Toxin
Pep_689,0.511,0,0,0.511,Non-Toxin
Pep_690,0.757,0,0,0.757,Toxin
Pep_691,0.729,0,0,0.729,Toxin
Pep_692,0.727,0,0,0.727,Toxin
Pep_693,0.64,0,0,0.64,Toxin
Pep_694,0.651,0,0,0.651,Toxin
Pep_695,0.655,0,0,0.655,Toxin
Pep_696,0.788,0,0,0.788,Toxin
Pep_697,0.743,0,0,0.743,Toxin
Pep_698,0.52,0,0,0.52,Non-Toxin
Pep_699,0.479,0,0,0.479,Non-Toxin
Pep_700,0.896,0,0,0.896,Toxin
Pep_701,0.88,0,0,0.88,Toxin
Pep_702,0.76,0,0,0.76,Toxin
Pep_703,0.571,0,0,0.571,Non-Toxin
Pep_704,0.503,0,0,0.503,Non-Toxin
Pep_705,0.5,0,0,0.5,Non-Toxin
Pep_706,0.619,0,0,0.619,Toxin
Pep_707,0.652,0,0,0.652,Toxin
Pep_708,0.884,0,0,0.884,Toxin
Pep_709,0.497,0,0,0.497,Non-Toxin
Pep_710,0.508,0,0,0.508,Non-Toxin
Pep_711,0.885,0,0,0.885,Toxin
Pep_712,0.607,0,0,0.607,Toxin
Pep_713,0.737,0,0,0.737,Toxin
Pep_714,0.711,0,0,0.711,Toxin
Pep_715,0.466,0,0,0.466,Non-Toxin
Pep_716,0.428,0,0,0.428,Non-Toxin
Pep_717,0.81,0,0,0.81,Toxin
Pep_718,0.846,0,0,0.846,Toxin
Pep_719,0.753,0,0,0.753,Toxin
Pep_720,0.655,0,0,0.655,Toxin
Pep_721,0.675,0,0,0.675,Toxin
Pep_722,0.599,0,0,0.599,Non-Toxin
Pep_723,0.587,0,0,0.587,Non-Toxin
Pep_724,0.759,0,0,0.759,Toxin
Pep_725,0.458,0,0,0.458,Non-Toxin
Pep_726,0.471,0,0,0.471,Non-Toxin
Pep_727,0.703,0,0,0.703,Toxin
Pep_728,0.858,0,0,0.858,Toxin
Pep_729,0.571,0,0,0.571,Non-Toxin
Pep_730,0.487,0,0,0.487,Non-Toxin
Pep_731,0.485,0,0,0.485,Non-Toxin
Pep_732,0.499,0,0,0.499,Non-Toxin
Pep_733,0.452,0,0,0.452,Non-Toxin
Pep_734,0.508,0,0,0.508,Non-Toxin
Pep_735,0.635,0,0,0.635,Toxin
Pep_736,0.599,0,0,0.599,Non-Toxin
Pep_737,0.629,0,0,0.629,Toxin
Pep_738,0.622,0,0,0.622,Toxin
Pep_739,0.781,0,0,0.781,Toxin
Pep_740,0.508,0,0,0.508,Non-Toxin
Pep_741,0.501,0,0,0.501,Non-Toxin
Pep_742,0.587,0,0,0.587,Non-Toxin
Pep_743,0.728,0,0,0.728,Toxin
Pep_744,0.731,0,0,0.731,Toxin
Pep_745,0.463,0,0,0.463,Non-Toxin
Pep_746,0.653,0,0,0.653,Toxin
Pep_747,0.785,0,0,0.785,Toxin
Pep_748,0.844,0,0,0.844,Toxin
Pep_749,0.949,0,0,0.949,Toxin
Pep_750,0.61,0,0,0.61,Toxin
Pep_751,0.614,0,0,0.614,Toxin
Pep_752,0.532,0,0,0.532,Non-Toxin
Pep_753,0.53,0,0,0.53,Non-Toxin
Pep_754,0.388,0,0,0.388,Non-Toxin
Pep_755,0.868,0,0,0.868,Toxin
Pep_756,0.541,0,0,0.541,Non-Toxin
Pep_757,0.789,0,0,0.789,Toxin
Pep_758,0.836,0,0,0.836,Toxin
Pep_759,0.88,0,0,0.88,Toxin
Pep_760,0.573,0,0,0.573,Non-Toxin
Pep_761,0.41,0,0,0.41,Non-Toxin
Pep_762,0.538,0,0,0.538,Non-Toxin
Pep_763,0.669,0,0,0.669,Toxin
Pep_764,0.663,0,0,0.663,Toxin
Pep_765,0.428,0,0,0.428,Non-Toxin
Pep_766,0.68,0,0,0.68,Toxin
Pep_767,0.555,0,0,0.555,Non-Toxin
Pep_768,0.674,0,0,0.674,Toxin
Pep_769,0.597,0,0,0.597,Non-Toxin
Pep_770,0.599,0,0,0.599,Non-Toxin
Pep_771,0.724,0,0,0.724,Toxin
Pep_772,0.75,0,0,0.75,Toxin
Pep_773,0.599,0,0,0.599,Non-Toxin
Pep_774,0.593,0,0,0.593,Non-Toxin
Pep_775,0.451,0,0,0.451,Non-Toxin
Pep_776,0.446,0,0,0.446,Non-Toxin
Pep_777,0.584,0,0,0.584,Non-Toxin
Pep_778,0.591,0,0,0.591,Non-Toxin
Pep_779,0.718,0,0,0.718,Toxin
Pep_780,0.608,0,0,0.608,Toxin
Pep_781,0.615,0,0,0.615,Toxin
Pep_782,0.678,0,0,0.678,Toxin
Pep_783,0.608,0,0,0.608,Toxin
Pep_784,0.671,0,0,0.671,Toxin
Pep_785,0.385,0,0,0.385,Non-Toxin
Pep_786,0.463,0,0,0.463,Non-Toxin
Pep_787,0.469,0,0,0.469,Non-Toxin
Pep_788,0.787,0,0,0.787,Toxin
Pep_789,0.664,0,0,0.664,Toxin
Pep_790,0.575,0,0,0.575,Non-Toxin
Pep_791,0.751,0,0,0.751,Toxin
Pep_792,0.719,0,0,0.719,Toxin
Pep_793,0.685,0,0,0.685,Toxin
Pep_794,0.696,0,0,0.696,Toxin
Pep_795,0.689,0,0,0.689,Toxin
Pep_796,0.692,0,0,0.692,Toxin
Pep_797,0.585,0,0,0.585,Non-Toxin
Pep_798,0.583,0,0,0.583,Non-Toxin
Pep_799,0.685,0,0,0.685,Toxin
Pep_800,0.698,0,0,0.698,Toxin
Pep_801,0.695,0,0,0.695,Toxin
Pep_802,0.679,0,0,0.679,Toxin
Pep_803,0.577,0,0,0.577,Non-Toxin
Pep_804,0.512,0,0,0.512,Non-Toxin
Pep_805,0.878,0,0,0.878,Toxin
Pep_806,0.803,0,0,0.803,Toxin
Pep_807,0.78,0,0,0.78,Toxin
Pep_808,0.721,0,0,0.721,Toxin
Pep_809,0.702,0,0,0.702,Toxin
Pep_810,0.567,0,0,0.567,Non-Toxin
Pep_811,0.401,0,0,0.401,Non-Toxin
